Date,Review,Reviewer,Ratings,Locationusergeo,Statename,Country,parkname
10/25/2019,"My wife loves to shelling and while the locals said shelling was not particularly good right now, we were not disappointed. The intact shells were all over the place so she had a great afternoon.  I enjoyed the old lighthouse on the southern tip of the island that has been and continues to be renovated.  It is a beautifully restored building with work continuing.  It overlooks the ""pass"" and is where some of the best shells can be found particularly after a recent storm.  There is a $3 daily parking fee unless you have a prepaid pass.",Arlen M,5.0 of 5 bubbles,Fort Augustus,Scotland,United Kingdom,Gasparilla Island State Parktripadvisorreviews
2/28/2021,Suggest you arrive early if you are going on the weekend. We rented a golf cart which made it easy for us to explore various sections of the State Park and be able to find parking. You pay $3 once at the park entrance and then can go anywhere and park in other sections of the park. Beautiful beaches and a nice place to find shells. ,Diane K,5.0 of 5 bubbles,Venice,Florida,United States,Gasparilla Island State Parktripadvisorreviews
9/11/2020,"It was a nice experience, not much to do because you get there by boat but u can fish dive for shells visit the lighthouse. If you are looking for peace you have to go! The house we rented was old but the outdoors are gorgeous is a protected area so they have rules! We spent the day at the beach! Lots of dolphins!!",Nani1108,4.0 of 5 bubbles,Miami,Florida,United States,Gasparilla Island State Parktripadvisorreviews
9/26/2019,"Beautiful beach with pristine white sand, crystal clear water and amazing sunsets! Here are a couple of things to consider:Toll to get in the island is $6 per passenger car (cash or card are accepted)Parking on Gasparilla Island State park is $3 for the entire day per car (cheap comparing to some islands where the cost if $5 per hour!)Coolers and grills are allowed and encouraged as there are no vendors on the beach besides a couple of restaurantsPets are not allowed on the park but are permitted in other areas of the beachThere are no gas stations on the island so make sure you fill up before arrival.Do the speed limit, the island is small and do not tolerate speedersMajor mode of transportations are golf carts and anyone over the age of 14 is allowed to maneuver it, so be on the look out and be safe! Do not disturb turtle's nests, you could be fined a large sum of money if caught but mostly you do not want to damage any eggs.",Juju Gurgel,5.0 of 5 bubbles,Fort Myers,Florida,United States,Gasparilla Island State Parktripadvisorreviews
8/27/2019,"Enjoyed the park a lot,it is on the gulf and the inlet.they have bathroom facilities and a shower to rinse off after being in the ocean.there is a museum in the old light house but was closed when we were there.",budnpat86,5.0 of 5 bubbles,Sanford,Florida,United States,Gasparilla Island State Parktripadvisorreviews
6/5/2019,"My husband and I just relocated from Palm Beach County to the Fort Myers area.  Originally from the midwest, Chicago, Southwest Florida is better suited to our likes and Florida dreams!  Gasparilla Island was truly a gem, and a rare reality that ""Old Florida"" beauty still abounds.  The beaches are gorgeous, with warm light colored sand, and shelling opportunities.The island is small, and there still are very affluent residents or snowbirds that have claimed some of the precious properties.  However, since this is home to fishermen and their families, and florida residents of all types, it is not as ostentatious as Southeast Florida beaches - truly a relief!",LeenaFleur,5.0 of 5 bubbles,Cape Coral,Florida,United States,Gasparilla Island State Parktripadvisorreviews
5/22/2019,"This park is located on the extreme south end of Gasparilla Island (also called Boca Grande because of their main town). It is about a $6 car toll to get on the island over the bridge, and $2 for bicycles. This park is south of the Boca Grande town. There is an honor toll of a coule bucks to park if you come by car.  There is a picnic area under the trees with benches and I think I remember BBQs.  Beyond that is the beach & lighthouse museum. The museum is really interesting, and it shows the history of the island, the phosphate dock that was part of the port, sea shells, and marine life, and photos & maps. There is a donation you can give for entry to the museum.  There is also a cool gift shop. The beach is really nice.  It is wide with white sand and sometimes shells if the tide brings them to shore.  Across the Boca pass you can see Cayo Costa island.This pass has strong currents, so I suggest you swim a bit north as the beach wraps around the point.  This pass is known for the Tarpon fish which is prized in many tournaments, which are usually held in June & July. Gasparilla Island is old Florida at its best.  It has not been commercialized, as you will see as you drive the approx. 8 miles to get to this park from the toll bridge.",Tom Z,5.0 of 5 bubbles,Placida,Florida,United States,Gasparilla Island State Parktripadvisorreviews
4/27/2019,"$6 to get in to drive around for an hour not to find a parking spot. When we finally saw someone in their car, they told us they weren't leaving, then they walked over to a residential home. The residents don't want the tourist. They take all the public parking because they already got your money at the gate. Don't waste your time or money going here. You won't be able to park to enjoy it. The rich people don't care about you",Ted T,1.0 of 5 bubbles,Marathon,Florida,United States,Gasparilla Island State Parktripadvisorreviews
4/1/2019,"This is one of the real gems of the Florida state beaches. Lots of parking - clean facilities, museum, shop and helpful staff. But, isince it is a park right on the tip of Gasparilla Island, you can enjoy the gulf side, fishing in  the main inlet or calm of the beaches in Charlotte bay. All without crowds. Usually you can stay till sunset and have a beach all to yourself. One of the best beaches there is - period. Go and enjoy",liftman53,5.0 of 5 bubbles,Orlando,Florida,United States,Gasparilla Island State Parktripadvisorreviews
3/29/2019,"Gasparilla island State Park is a must see place to visit with our friends and relatives who are are visiting from the cold north.  Restored lighthouse museum with shell collections, good displays with old photographs and the evolution of the area, people-wise and commercially, and a gift shop with mementos, books, shells, posters and other things..There is usually a volunteer docent to provide commentary on the history of the area.  We were able to see manatees and dolphins in the water and brown pelicans diving into the water retrieving fish.  There is a $3 parking fee to get into the park but none to visit the museum, once you are in.  Many folks sunbathe on the beaches.If you get there early in the mornings, you have a chance to find some interesting shells.  The ($6 fee) bridges that bring you onto Gasparilla Island give you a good look at the light blue and turquoise waters and the old trestles that held up a now defunct railroad.  Truly memorable sites.  As is one block of Banyan Street on your way down to the state park.  Driving through the village be careful and considerate of the ""golf"" carts, there are quite a few.",Tom P,5.0 of 5 bubbles,Rotonda West,Florida,United States,Gasparilla Island State Parktripadvisorreviews
1/25/2020," Can’t swim here because of the rip tide but great place to walk the beach, fish and visit the light houses. There were just mounds of shells and people were sitting on them searching for gems.  We found a few ourselves.  We liked it cause it was not surrounded by all the commercialism typical in Florida. ",traillightbetty,5.0 of 5 bubbles,Pocatello,Idaho,United States,Gasparilla Island State Parktripadvisorreviews
6/10/2019,"Beautiful, clear, calm water with a lot of sea life visible as you walked, swam around.  Quieter on the tip.  Manatees hung out with us all day!  Not much the day we visited in the way of shells or shark teeth but a wonderful visit non-the-less.  Very nice drive with all the beautiful houses on the way in.",Barbara M,5.0 of 5 bubbles,New Lenox,Illinois,United States,Gasparilla Island State Parktripadvisorreviews
